,b3C9s,g7R2j,k4W1c,m3D1v,r8S3g,s8Y2f,t5V9e,y9W5d
8b6d1125760bd3939b6e,0.5333333333333333,1.0,1.0,0.8361111111111112,0.49833333333333335,0.5,0.8250000000000001,0.8787878787878789
63eef37311aaac915a45,0.625,0.48333333333333334,0.5,0.4262539287881669,0.2595238095238095,0.0384615384615384,0.30678571428571433,0.5504873214337631
5d89810b20079366fcc2,0.6499999999999999,4.6,1.0,0.9375000000000001,0.5966666666666667,0.5,1.0,0.893939393939394
47eeab842793b09300c3,0.3533333333333333,0.29000000000000004,0.5,0.5135912698412697,0.3352380952380952,0.5,0.3816666666666666,0.6693722943722943
a8eea517e36b20757b2e,0.85,0.2,1.0,0.5348824786324786,0.2633333333333333,0.0,0.2828104575163399,0.7575757575757577
e89cdaa3f159a0d3f55e,0.15970930232558136,0.42945326278659607,0.1,0.2818906834988706,0.21616946778711482,0.025,0.4911111111111111,0.22746212121212117
e324cc9cb52a2b3cb9cb,0.575,0.4733333333333334,0.125,0.36617721617721616,0.3813333333333333,0.125,0.5324242424242425,0.4228317659352142
98e10f84d94623f8b39e,0.4,0.18055555555555555,0.0833333333333333,0.4158868092691622,0.2917647058823529,1.0,0.2013345864661654,0.5787878787878789
3c89c7f1db26ae691db8,1.0,0.8285714285714285,0.5757575757575758,0.34027944736149063,0.24333333333333335,1.0,0.09923132423132419,0.643250688705234
9ea29e4a747ea4a7c70a,0.17321428571428565,0.26742424242424245,0.25,0.5719907407407407,0.4901010101010101,0.25,0.550952380952381,0.41780904280904274
e23ada44d3eac9b465d2,1.0,0.9333333333333333,0.5,0.6486111111111111,0.41523809523809524,1.0,0.8333333333333333,0.7151515151515153
b79c2d9d8148403a3720,0.6263157894736842,0.4496440596440596,0.5,0.5638888888888888,0.4150997150997151,0.3974358974358974,0.525,0.49338489793035245
01d8aa21ef476b66c573,0.65,0.6066666666666667,0.6666666666666666,0.6399691358024692,0.6833333333333333,0.3333333333333333,0.75,0.4736719745491675
9417c1b4c24e428984bc,0.7176470588235294,0.37554112554112556,0.036036036036036,0.49335382813643686,0.373015873015873,0.2083333333333333,0.31582582582582586,0.3481593048156515
3d63ba961a5f3a60616a,0.8,0.675,1.0,0.7777777777777778,0.482051282051282,1.0,0.5952380952380953,0.883838383838384
57709f904b1cc9ec60b1,0.3308333333333333,0.6124137931034483,0.3333333333333333,0.5131944444444445,0.355067155067155,1.0,0.6500000000000001,0.42093277093277087
8979427badebb9e2bd10,0.3388198757763975,0.7555555555555555,1.0,0.6176146384479717,0.8666666666666667,1.0,1.0,0.8888888888888892
6e7d56f652020f046204,0.7166666666666667,0.7250000000000001,0.4666666666666666,0.6049603174603174,0.46666666666666673,0.5,0.5333333333333334,0.5988188282305928
03aa0b20dd4af1888eef,0.35,0.4370588235294117,1.0,0.5567460317460317,0.28240740740740744,0.1,0.5875000000000001,0.6084153220516858
1b25734414fcc7466153,0.23163771712158804,0.2579248366013072,0.1,0.5135030864197531,0.27175324675324675,0.4666666666666666,0.3205,0.42180134680134684
8777bd09f180d330b147,0.13714285714285712,0.5305555555555556,0.5555555555555555,0.4990530303030303,0.49333333333333335,0.25,0.5205,0.36904761904761907
8b1fbc97391699e46cef,0.31666666666666665,0.2745863287039758,0.1818181818181818,0.2774311732498969,0.3007575757575757,0.5,0.4179310344827587,0.338267731779462
dc83f9577ae72447a7b1,0.24629629629629624,0.49244089244089245,0.1818181818181818,0.371056721056721,0.36818181818181817,0.1666666666666666,0.31588235294117645,0.19759439906498727
be503fccbf0ae5532639,1.0,0.6083333333333334,1.0,0.5293350168350168,0.5901960784313727,0.2,0.2542857142857142,0.48856749311294767
cd6355bf939a47577f6d,0.13421428571428567,0.2661782661782661,0.1827956989247311,0.3117171717171717,0.5269230769230769,0.4285714285714285,0.4722222222222222,0.3340503256925544
f06c3ddb1a98713eeb32,0.85,0.6094202898550725,0.1428571428571428,0.28503637566137563,0.28733893557422974,0.2,0.3441025641025641,0.24339919339919336
bca2be7a89b9b36b45cc,0.55,0.8333333333333333,1.0,0.7353217602830606,0.4419047619047619,1.0,0.7304347826086958,0.8045900178253121
f058870b1bc33e288e82,0.85,0.6363636363636365,1.0,0.6376984126984127,0.5366666666666666,1.0,0.6596638655462186,0.8055555555555557
a1fa76b5d99a411d6649,0.39499999999999996,0.6777777777777777,0.3703703703703704,0.5541666666666667,0.711111111111111,0.3333333333333333,0.7625,0.5784752284752285
79ea7a2f63285f2fe26b,0.85,0.6132275132275132,0.5606060606060607,0.8643939393939395,1.0,1.0,0.6791666666666667,0.7718855218855221
54826f4abf592713d585,0.5893939393939394,0.5767676767676768,0.6666666666666666,0.6435185185185185,0.5785714285714285,0.4166666666666666,0.5366666666666666,0.7424242424242425
e716574233e87591ff19,0.40952380952380946,0.5318181818181817,0.2,0.3091922737756071,0.20805555555555555,0.3333333333333333,0.54,0.24055944055944053
bab3d23935ae4f8e798c,0.40884615384615386,0.32770516717325227,0.3571428571428571,0.5250496031746031,0.44772486772486775,0.2888888888888889,0.3602450404368563,0.5600846123573396
d2403aa287eb869a170a,1.0,0.6166666666666667,0.1666666666666666,0.3725282705674862,0.1605854929384341,0.1,0.15665990534144691,0.44410408432147563
ce1a32f22b91f4d81015,0.6285714285714286,0.35502392344497613,0.3333333333333333,0.6073302469135802,0.18380116959064324,0.4444444444444444,0.4683333333333334,0.5760101010101011
d0a933a514028d777578,0.75,0.7341880341880342,0.6,0.6956018518518517,0.7666666666666666,0.5,0.6666666666666667,0.6663547237076649
81c4c46f19cb21d54bbb,0.3310526315789473,0.5244444444444445,1.0,0.7755050505050506,0.8500000000000001,1.0,0.8833333333333333,0.7850747737111375
876aca2b8ce1958ea773,0.7448275862068965,0.5099050332383666,0.5,0.37093253968253964,0.13988998939656833,0.1555555555555555,0.369527665317139,0.2872419247419248
c57c5ca2df494f27ca64,0.6833333333333332,0.680952380952381,0.3333333333333333,0.9002525252525253,1.0,1.0,0.675,0.8002754820936641
64d1d58d40bca568347c,0.8375,0.75,1.0,0.6179232804232804,0.41000000000000003,0.25,0.58,0.5436507936507936
75c2677c8d156032e303,0.5206349206349206,0.3252587991718426,0.1666666666666666,0.29766749714275953,0.20777849601379011,0.1818181818181818,0.28960662525879916,0.2064316959573876
b345ecad87a7fbac77ce,0.4736842105263158,0.4098788638262323,0.4871794871794873,0.41601130351130355,0.5066666666666666,0.5416666666666666,0.5573809523809524,0.5202964543873635
360820d6620d17d1b48b,0.2298780487804878,0.5431968810916179,0.3333333333333333,0.4989197530864198,0.29675324675324677,0.5333333333333333,0.35238095238095235,0.656439393939394
7086b49d3d6c2cf79c1a,0.5833333333333333,0.85,1.0,0.9166666666666667,0.40552104899930985,0.5,0.7837662337662337,0.8636363636363638
cac3f85073c947532796,0.30625,0.3816347381864623,0.4444444444444444,0.6272879763821791,0.23341991341991342,1.0,0.7689075630252102,0.631977786523241
e37bbe9fe37f92b785d9,0.5230414746543779,0.46987789987789985,1.0,0.6050925925925926,0.4763636363636364,0.5,0.8181818181818181,0.627670645852464
0a8736f6520cea837d94,0.8,0.5444444444444444,0.0909090909090909,0.6031090396085574,0.62,0.3333333333333333,0.2550336485220206,0.6014102059556605
37ae91c472189108a737,0.7833333333333333,0.71,1.0,0.8592592592592594,0.75,1.0,0.5883333333333334,0.9545454545454547
488934d01a504bc212b4,0.49,0.6766666666666667,0.4666666666666666,0.6259259259259259,0.675,0.5555555555555555,0.55,0.6484848484848486
545eb6c8154273344669,0.41000000000000003,0.47238095238095246,0.106060606060606,0.6509920634920635,0.21269841269841266,0.2,0.5375000000000001,0.32532248895885263
22ae866c664a147f9971,0.6,0.6674074074074074,1.0,0.7271604938271604,0.9,1.0,0.7666666666666666,0.822811447811448
86215294b080f19af22f,1.0,0.27,0.1212121212121212,0.6644360269360269,0.2860526315789474,0.4,0.43999999999999995,0.5119834710743802
1e25b47eaef62694a236,1.0,0.8285714285714285,1.0,0.9077380952380952,0.30714285714285716,1.0,0.41250000000000003,1.0000000000000002
580e98185da72b5f34cd,0.3505357142857143,0.37471139971139966,0.2,0.47997557997557994,0.47009803921568627,0.1428571428571428,0.5316770186335403,0.4365841887581019
99d6b8a1cc0020112951,0.17446581196581196,0.4324074074074074,0.5,0.699074074074074,0.5952380952380953,0.1428571428571428,0.6416666666666666,0.6952443691574126
ff59855075a6bc39d62b,0.85,0.7333333333333334,1.0,0.7916666666666667,0.5571428571428572,1.0,0.8500000000000001,0.8181818181818182
8d422b817027d7721870,0.8,0.8133333333333332,1.0,0.8562500000000001,0.7285714285714286,0.2,0.75,0.8272727272727274
18cdd44af62c6935e7a0,0.6785714285714286,0.6016666666666666,0.4166666666666666,0.5193151619622207,0.387719298245614,0.7142857142857143,0.5583333333333333,0.5944444444444446
c00c91256ab1777d0dbc,0.53,0.4237037037037037,0.6666666666666666,0.6525132275132275,0.2731746031746032,1.0,0.3740956072351421,0.7281385281385282
10de703c06bf9d873d68,0.775,0.7333333333333334,1.0,0.7387096774193549,0.30761904761904757,0.5,0.75,0.7803030303030304
t3wo8xb4rq94n3fpfk35,0.47,0.1987878787878788,0.4285714285714285,1.0790343915343912,0.22857142857142856,0.3333333333333333,0.5911111111111111,0.3622655122655123
8cvzwcc62ql4rqj0pyzl,0.375,2.2055555555555553,0.4666666666666666,1.1527777777777777,0.30000000000000004,10.0,0.5066666666666667,1.2651515151515151
79cvflltnemb9zpg6pgl,0.24999999999999997,0.37671957671957673,0.5833333333333333,0.4050925925925926,0.10666666666666667,0.1666666666666666,0.18333333333333335,0.25707070707070706
i21qi5qdsjqcch2xvdd5,0.175,0.17142857142857143,0.5,0.3625,2.0619047619047617,0.3333333333333333,0.13333333333333333,0.4383116883116883
qw1seyo5nrhlm8vby58w,3.236666666666667,0.37962962962962965,0.5,0.2680555555555555,0.12857142857142856,0.25,0.1946969696969697,0.35151515151515156
exj3a7hd6gwihbowgm3w,0.27,0.22777777777777775,0.6666666666666666,0.21322751322751318,0.1,0.75,0.3375,2.0570707070707073
qz6jjynwbd3szlp0rj04,0.2666666666666666,0.044444444444444446,0.3888888888888888,0.43333333333333335,2.3,0.125,2.2364285714285717,0.29217171717171714
0maggb1hf886m5u6p2vr,0.2571428571428571,0.44166666666666665,0.25,0.3442129629629629,0.07333333333333333,0.5,0.30292929292929294,0.3111111111111111
cuwakm24vlp785ky5w71,0.29500000000000004,0.4177777777777778,0.7037037037037037,1.1731481481481478,0.14722222222222223,0.5,0.21282051282051279,0.29225589225589227
uvh2zil455wi0dcdan51,0.2845454545454545,0.15833333333333333,0.4285714285714285,0.40972222222222215,2.1666666666666665,0.0,0.18055555555555555,0.3525974025974026
wwh529n48kyjq1xe9h46,0.4,0.4293650793650794,0.3333333333333333,1.980787037037037,0.5022222222222223,0.3333333333333333,2.2333333333333334,0.29292929292929293
o5lo8q4tb8yt0v8imkw4,0.5800000000000001,0.38888888888888884,0.4444444444444444,0.34861111111111104,2.033333333333333,10.0,0.24142857142857144,1.2116161616161616
pr6b1twg5sgsrzek6adi,0.15999999999999998,0.35384615384615387,0.4166666666666666,0.3662037037037037,2.087878787878788,0.2666666666666666,0.1677777777777778,0.19393939393939394
zeuj2ypen39p38d4m3oj,0.22142857142857136,0.12606060606060604,0.1666666666666666,0.3231481481481481,2.1733333333333333,0.0,0.18214285714285713,0.15223665223665223
6o68qswzkvrrtbiz6bzr,0.32222222222222224,0.3857142857142857,0.0,0.29583333333333334,0.3533333333333334,0.5,0.255,0.3841750841750842
1mp9yiw6rkrr3846047g,0.3833333333333333,0.2444444444444444,0.5,1.1180555555555554,2.22,0.3333333333333333,0.12928571428571428,1.2878787878787878
lzvutqpj9ggc0nwwsxcv,3.2694444444444444,2.4000000000000004,0.0,2.7152777777777777,2.0,10.0,0.37,2.0553391053391055
isa355t9q5rut5fm8aml,0.5933333333333333,0.4351851851851852,0.75,1.8564814814814812,0.2466666666666667,0.2,0.5196428571428572,0.2981240981240981
5gs9643ghg39gpkgi3e5,0.3133333333333333,0.6333333333333333,0.3333333333333333,0.1810185185185185,2.04,0.3333333333333333,2.30995670995671,0.37445887445887444
ao2x473zwn7k7a6gpfr9,0.08000000000000002,0.32285714285714284,0.0,0.3731481481481482,0.265,0.5555555555555555,0.20000000000000004,0.3282828282828283
jwdjcrxdn0um79f0rjvw,0.5,0.5477777777777778,0.3333333333333333,1.1238425925925926,2.19,0.25,2.2916666666666665,1.2563492063492063
oppl3ojvw61dvd5yw1wl,3.2333333333333334,0.1917171717171717,0.3333333333333333,1.918716931216931,2.2293650793650794,10.0,0.34444444444444444,1.277056277056277
s0vfgmhobw9jq6al8iww,0.19999999999999998,0.5083333333333333,0.0833333333333333,1.096296296296296,2.1,0.4761904761904762,0.24134199134199136,0.48268398268398266
styld7k1gge5cvjria5b,3.283333333333333,0.34444444444444444,0.0833333333333333,1.1513888888888888,0.52,0.4666666666666667,2.1999999999999997,1.231818181818182
fvurnsqlgyr9zbd6msqs,3.2166666666666663,0.36969696969696975,0.6,1.986970899470899,2.1233333333333335,0.0,2.25,1.1247474747474748
47vclaej1xmb0rc8kgka,0.3571428571428571,0.2511111111111111,0.0555555555555555,0.29259259259259257,0.2916666666666667,0.3333333333333333,0.36153846153846153,0.4621212121212121
zlaig56ve06t7jruk2mr,0.64,0.2666666666666667,0.3333333333333333,1.1611111111111112,2.17,0.0833333333333333,0.3619047619047619,0.44898989898989894
ifj584ryrjv639n4nnsu,0.2333333333333333,0.42666666666666664,0.4166666666666666,0.31759259259259254,0.2657142857142857,10.0,0.275,2.2202020202020205
xh8a7nmtz192pknhec33,0.375,2.162962962962963,0.25,0.4657407407407408,0.19857142857142857,0.3333333333333333,0.5066666666666667,1.1035353535353536
9wax6sfj9cuqbbxc95om,0.23,0.32666666666666666,0.5555555555555556,1.1296296296296298,2.266666666666667,0.0,0.67,0.2828282828282829
oit2xadfbpuveswzx4pf,0.21666666666666662,0.2722222222222222,0.1666666666666666,0.22638888888888886,0.2507936507936508,0.5,2.185,1.256060606060606
91ybnlkli8x332l13rrk,0.25,0.2277777777777778,0.4166666666666666,1.132936507936508,0.2363636363636364,0.0,0.30416666666666664,0.28441558441558434
k4usquerebza4uy0i57h,0.25,0.373015873015873,0.0,0.2356481481481482,0.04000000000000001,0.5555555555555555,4.085,0.2868686868686869
fb4411db1aac3cd2544b,3.433333333333333,0.8666666666666667,1.0,0.61331569664903,0.6181818181818182,1.0,0.5738095238095238,0.5642376142376142
cnkddx6ofjqd7ueylz0e,3.2142857142857144,0.48888888888888893,0.4583333333333333,1.2199074074074072,0.13,10.0,2.26,2.1379148629148634
vhlntoniujqiclub2juy,3.16,0.359920634920635,0.2916666666666666,2.019312169312169,0.21333333333333335,0.0,0.21309523809523806,1.2770923520923523
